# magnetic superspace group                           ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};{Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2})
115.2.68.11.m285.1 P-4'm'2(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  A },{  - ,  - })
115.2.68.11.m286.1 P-4'm2'(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - , -A },{  B ,  - };{  - ,  A },{  - ,  A },{ -B ,  - })
115.2.68.11.m287.1 P-4m'2'(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - , -A },{  B ,  - };{  - , -A },{  - , -A },{  B ,  - })
115.2.68.12.m283.1 P-4m2.1(a,a,0)000(-a,a,0)00s     ({  - ,  A },{  - , -A },{  B ,  - };{  - , -A },{  - , -A },{  B ,  - })
115.2.68.12.m285.1 P-4'm'2(a,a,0)000(-a,a,0)00s     ({  - ,  A },{  - , -A },{  B ,  - };{  - ,  A },{  - ,  A },{ -B ,  - })
115.2.68.12.m286.1 P-4'm2'(a,a,0)000(-a,a,0)00s     ({  - ,  A },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  A },{  - ,  - })
115.2.68.12.m287.1 P-4m'2'(a,a,0)000(-a,a,0)00s     ({  - ,  A },{  - ,  A },{  - ,  - };{  - ,  A },{  - , -A },{  - ,  - })
123.2.63.12.m339.1 P4/mmm.1(a,0,0)0000(0,a,0)0000   ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.12.m341.1 P4/m'mm(a,0,0)0000(0,a,0)0000    ({  - ,  - },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  - },{  - ,  - })
123.2.63.12.m342.1 P4'/mm'm(a,0,0)0000(0,a,0)0000   ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{ -A ,  - })
123.2.63.12.m343.1 P4'/mmm'(a,0,0)0000(0,a,0)0000   ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.12.m344.1 P4'/m'm'm(a,0,0)0000(0,a,0)0000  ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - , -A },{  - ,  - })
123.2.63.12.m345.1 P4/mm'm'(a,0,0)0000(0,a,0)0000   ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{  A ,  - })
123.2.63.12.m346.1 P4'/m'mm'(a,0,0)0000(0,a,0)0000  ({  - ,  - },{  - ,  A },{  - ,  - };{  - ,  A },{  - ,  - },{  - ,  - })
123.2.63.12.m347.1 P4/m'm'm'(a,0,0)0000(0,a,0)0000  ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  A },{  - ,  - })
123.2.63.13.m339.1 P4/mmm.1(a,0,0)0s00(0,a,0)0s00   ({  - ,  - },{  A ,  - },{  - ,  - };{ -A ,  - },{  - ,  - },{  - ,  - })
123.2.63.13.m341.1 P4/m'mm(a,0,0)0s00(0,a,0)0s00    ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.13.m342.1 P4'/mm'm(a,0,0)0s00(0,a,0)0s00   ({  A ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{ -A ,  - },{  - ,  - })
123.2.63.13.m343.1 P4'/mmm'(a,0,0)0s00(0,a,0)0s00   ({  - ,  - },{  A ,  - },{  - ,  - };{  A ,  - },{  - ,  - },{  - ,  - })
123.2.63.13.m344.1 P4'/m'm'm(a,0,0)0s00(0,a,0)0s00  ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - , -A })
123.2.63.13.m345.1 P4/mm'm'(a,0,0)0s00(0,a,0)0s00   ({  A ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  A ,  - },{  - ,  - })
123.2.63.13.m346.1 P4'/m'mm'(a,0,0)0s00(0,a,0)0s00  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.13.m347.1 P4/m'm'm'(a,0,0)0s00(0,a,0)0s00  ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - ,  A })
123.2.63.14.m339.1 P4/mmm.1(a,0,0)0000(0,a,0)00s0   ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{  A ,  - })
123.2.63.14.m341.1 P4/m'mm(a,0,0)0000(0,a,0)00s0    ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  A },{  - ,  - })
123.2.63.14.m342.1 P4'/mm'm(a,0,0)0000(0,a,0)00s0   ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.14.m343.1 P4'/mmm'(a,0,0)0000(0,a,0)00s0   ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{ -A ,  - })
123.2.63.14.m344.1 P4'/m'm'm(a,0,0)0000(0,a,0)00s0  ({  - ,  - },{  - ,  A },{  - ,  - };{  - ,  A },{  - ,  - },{  - ,  - })
123.2.63.14.m345.1 P4/mm'm'(a,0,0)0000(0,a,0)00s0   ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.14.m346.1 P4'/m'mm'(a,0,0)0000(0,a,0)00s0  ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - , -A },{  - ,  - })
123.2.63.14.m347.1 P4/m'm'm'(a,0,0)0000(0,a,0)00s0  ({  - ,  - },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  - },{  - ,  - })
123.2.63.15.m339.1 P4/mmm.1(a,0,0)0s00(0,a,0)0ss0   ({  A ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{ -A ,  - },{  - ,  - })
123.2.63.15.m341.1 P4/m'mm(a,0,0)0s00(0,a,0)0ss0    ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - , -A })
123.2.63.15.m342.1 P4'/mm'm(a,0,0)0s00(0,a,0)0ss0   ({  - ,  - },{  A ,  - },{  - ,  - };{ -A ,  - },{  - ,  - },{  - ,  - })
123.2.63.15.m343.1 P4'/mmm'(a,0,0)0s00(0,a,0)0ss0   ({  A ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  A ,  - },{  - ,  - })
123.2.63.15.m344.1 P4'/m'm'm(a,0,0)0s00(0,a,0)0ss0  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.63.15.m345.1 P4/mm'm'(a,0,0)0s00(0,a,0)0ss0   ({  - ,  - },{  A ,  - },{  - ,  - };{  A ,  - },{  - ,  - },{  - ,  - })
123.2.63.15.m346.1 P4'/m'mm'(a,0,0)0s00(0,a,0)0ss0  ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - ,  A })
123.2.63.15.m347.1 P4/m'm'm'(a,0,0)0s00(0,a,0)0ss0  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.21.m339.1 P4/mmm.1(a,a,0)0000(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.21.m341.1 P4/m'mm(a,a,0)0000(-a,a,0)0000   ({  - ,  A },{  - , -A },{  - ,  - };{  - ,  A },{  - ,  A },{  - ,  - })
123.2.68.21.m342.1 P4'/mm'm(a,a,0)0000(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.21.m343.1 P4'/mmm'(a,a,0)0000(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{ -A ,  - })
123.2.68.21.m344.1 P4'/m'm'm(a,a,0)0000(-a,a,0)0000 ({  - ,  A },{  - , -A },{  - ,  - };{  - , -A },{  - , -A },{  - ,  - })
123.2.68.21.m345.1 P4/mm'm'(a,a,0)0000(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{  A ,  - })
123.2.68.21.m346.1 P4'/m'mm'(a,a,0)0000(-a,a,0)0000 ({  - ,  A },{  - ,  A },{  - ,  - };{  - ,  A },{  - , -A },{  - ,  - })
123.2.68.21.m347.1 P4/m'm'm'(a,a,0)0000(-a,a,0)0000 ({  - ,  A },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  A },{  - ,  - })
123.2.68.22.m339.1 P4/mmm.1(a,a,0)0s00(-a,a,0)0s00  ({  A ,  - },{ -A ,  - },{  - ,  - };{  A ,  - },{  A ,  - },{  - ,  - })
123.2.68.22.m341.1 P4/m'mm(a,a,0)0s00(-a,a,0)0s00   ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.22.m342.1 P4'/mm'm(a,a,0)0s00(-a,a,0)0s00  ({  A ,  - },{ -A ,  - },{  - ,  - };{ -A ,  - },{ -A ,  - },{  - ,  - })
123.2.68.22.m343.1 P4'/mmm'(a,a,0)0s00(-a,a,0)0s00  ({  A ,  - },{  A ,  - },{  - ,  - };{  A ,  - },{ -A ,  - },{  - ,  - })
123.2.68.22.m344.1 P4'/m'm'm(a,a,0)0s00(-a,a,0)0s00 ({  - ,  - },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  - },{  - ,  - })
123.2.68.22.m345.1 P4/mm'm'(a,a,0)0s00(-a,a,0)0s00  ({  A ,  - },{  A ,  - },{  - ,  - };{ -A ,  - },{  A ,  - },{  - ,  - })
123.2.68.22.m346.1 P4'/m'mm'(a,a,0)0s00(-a,a,0)0s00 ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - , -A })
123.2.68.22.m347.1 P4/m'm'm'(a,a,0)0s00(-a,a,0)0s00 ({  - ,  - },{  - ,  - },{  - ,  A };{  - ,  - },{  - ,  - },{  - ,  A })
123.2.68.23.m339.1 P4/mmm.1(a,a,0)000s(-a,a,0)0000  ({  - ,  - },{  - ,  - },{  A ,  - };{  - ,  - },{  - ,  - },{  A ,  - })
123.2.68.23.m341.1 P4/m'mm(a,a,0)000s(-a,a,0)0000   ({  - ,  A },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  A },{  - ,  - })
